Timestamp,Caller IP,Caller User Agent,Principal Email,Permission,Service,Method
2023-11-24T03:46:40.009139+00:00,211.58.157.43,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36,gzip(gfe),gzip(gfe)",admin@bobmzdmz.store,"serviceusage.services.enable, serviceusage.services.enable, servicemanagement.services.bind","projectnumbers/1096092963246/services/cloudresourcemanager.googleapis.com, projectnumbers/1096092963246/services/cloudresourcemanager.googleapis.com, services/cloudresourcemanager.googleapis.com","projectnumbers/1096092963246/services/cloudresourcemanager.googleapis.com, projectnumbers/1096092963246/services/cloudresourcemanager.googleapis.com, services/cloudresourcemanager.googleapis.com"
2023-11-24T03:46:40.593614+00:00,211.58.157.43,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36,gzip(gfe),gzip(gfe)",admin@bobmzdmz.store,"serviceusage.services.enable, serviceusage.services.enable, serviceusage.operations.get, serviceusage.services.get","projectnumbers/1096092963246, projectnumbers/1096092963246, projectnumbers/1096092963246/operations/-, projectnumbers/1096092963246/services/-","projectnumbers/1096092963246, projectnumbers/1096092963246, projectnumbers/1096092963246/operations/-, projectnumbers/1096092963246/services/-"
2023-11-24T03:46:42.107019+00:00,211.58.157.43,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36,gzip(gfe),gzip(gfe)",admin@bobmzdmz.store,"serviceusage.services.enable, servicemanagement.services.bind","projectnumbers/1096092963246/services/cloudresourcemanager.googleapis.com, services/cloudresourcemanager.googleapis.com","projectnumbers/1096092963246/services/cloudresourcemanager.googleapis.com, services/cloudresourcemanager.googleapis.com"
2023-11-24T03:46:44.396630+00:00,211.58.157.43,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36,gzip(gfe),gzip(gfe)",admin@bobmzdmz.store,"serviceusage.services.enable, serviceusage.services.enable, serviceusage.operations.get, serviceusage.services.get","projectnumbers/1096092963246, projectnumbers/1096092963246, projectnumbers/1096092963246/operations/-, projectnumbers/1096092963246/services/-","projectnumbers/1096092963246, projectnumbers/1096092963246, projectnumbers/1096092963246/operations/-, projectnumbers/1096092963246/services/-"
2023-11-24T04:34:05.460689+00:00,211.58.157.43,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36,gzip(gfe),gzip(gfe)",admin@bobmzdmz.store,"resourcemanager.projects.setIamPolicy, resourcemanager.projects.setIamPolicy","projects/mzdmz-solution-test, projects/mzdmz-solution-test","projects/mzdmz-solution-test, projects/mzdmz-solution-test"
2023-11-24T04:37:05.743207+00:00,211.58.157.43,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36,gzip(gfe)",admin@bobmzdmz.store,iam.serviceAccountKeys.create,projects/-/serviceAccounts/117334145531355894459,projects/-/serviceAccounts/117334145531355894459
2023-11-24T04:42:28.961359+00:00,211.58.157.43,,admin@bobmzdmz.store,clientauthconfig.brands.create,brands/1096092963246,brands/1096092963246
2023-11-24T04:44:56.541963+00:00,211.58.157.43,,admin@bobmzdmz.store,clientauthconfig.clients.create,brands/1096092963246,brands/1096092963246
2023-11-24T09:07:51.053170+00:00,218.146.20.61,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36,gzip(gfe),gzip(gfe)",admin@bobmzdmz.store,"serviceusage.services.enable, serviceusage.services.enable, servicemanagement.services.bind","projectnumbers/1096092963246/services/admin.googleapis.com, projectnumbers/1096092963246/services/admin.googleapis.com, services/admin.googleapis.com","projectnumbers/1096092963246/services/admin.googleapis.com, projectnumbers/1096092963246/services/admin.googleapis.com, services/admin.googleapis.com"
2023-11-24T09:07:51.674437+00:00,218.146.20.61,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36,gzip(gfe),gzip(gfe)",admin@bobmzdmz.store,"serviceusage.services.enable, serviceusage.services.enable, serviceusage.operations.get, serviceusage.services.get","projectnumbers/1096092963246, projectnumbers/1096092963246, projectnumbers/1096092963246/operations/-, projectnumbers/1096092963246/services/-","projectnumbers/1096092963246, projectnumbers/1096092963246, projectnumbers/1096092963246/operations/-, projectnumbers/1096092963246/services/-"
2023-11-24T09:07:53.650590+00:00,218.146.20.61,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36,gzip(gfe),gzip(gfe)",admin@bobmzdmz.store,"serviceusage.services.enable, servicemanagement.services.bind","projectnumbers/1096092963246/services/admin.googleapis.com, services/admin.googleapis.com","projectnumbers/1096092963246/services/admin.googleapis.com, services/admin.googleapis.com"
